term,PCA dim
kustbevakningen,0.0447
befolkningen,0.0416
långsiktigt,0.0414
arbetsplatser,0.0366
beredskap,0.0364
utarbeta,0.0357
väpnade,0.0356
avvägningar,0.0291
rapporten,0.0283
psykisk,0.0275
myndigheterna,0.0261
utvecklingsmöjligheter,0.0220
utvärdering,0.0200
fördelning,0.0134
beredning,0.0129
ordförande,0.0120
yrken,0.0119
näringen,0.0096
bedömningen,0.0094
arbetsgruppen,0.0081
försäkringar,0.0071
långtgående,0.0032
prioriteringen,0.0026
polemik,0.0006
rättvisa,0.0005
nationell,0.0003
aktörer,-0.0036
revision,-0.0073
arbetsgrupp,-0.0090
lagutskottets,-0.0098
samhälle,-0.0242
bostadsrättsföreningen,-0.0247
besluta,-0.0282
prövas,-0.0361
län,-0.0371
samordna,-0.0421
finansiering,-0.0425
synsättet,-0.0478
skyddsåtgärder,-0.0480
belysas,-0.0508
utbyggnad,-0.0525
äktenskapet,-0.0535
företagen,-0.0540
avtalet,-0.0542
kärnvapen,-0.0547
skolor,-0.0558
regeringstiden,-0.0563
applåder,-0.0563
infrastrukturen,-0.0578
kollektivtrafik,-0.0660
transportsystem,-0.0669
arbetsmarknadsutbildningarna,-0.0671
ansvar,-0.0676
målen,-0.0733
hemlösa,-0.0736
bönderna,-0.0748
redovisas,-0.0758
regional,-0.0764
ökningen,-0.0852
strategin,-0.0932
verksamheten,-0.0934
insatser,-0.0968
ökat,-0.0990
diskussionen,-0.1019
rättigheter,-0.1022
vård,-0.1029
infrastruktur,-0.1031
diskussionerna,-0.1060
diskriminera,-0.1102
slutsatser,-0.1128
helhetsgrepp,-0.1140
fisket,-0.1160
sjukhusen,-0.1170
hållbar,-0.1215
frågorna,-0.1217
anställda,-0.1220
krissituation,-0.1240
folket,-0.1279
kompetens,-0.1281
frågeställningar,-0.1309
organisation,-0.1357
utsatta,-0.1392
lån,-0.1396
homosexuella,-0.1404
arbetsuppgifter,-0.1407
byggandet,-0.1461
beslutade,-0.1472
resonemang,-0.1490
oseriösa,-0.1491
socialt,-0.1514
satsning,-0.1526
villkoren,-0.1542
utreder,-0.1577
granskning,-0.1594
kartläggning,-0.1615
överenskommelse,-0.1652
miljarder,-0.1684
sanera,-0.1733
diskussion,-0.1735
rekrytera,-0.1781
skolan,-0.1781
omänsklig,-0.1820
finansiera,-0.1832
ansvaret,-0.1849
kvinnornas,-0.1868
forskningen,-0.1871
funktionshinder,-0.1871
etablering,-0.1872
skärpte,-0.1885
utvidgningen,-0.1903
trygghet,-0.1926
ökade,-0.1953
situationen,-0.1971
livsmedelsindustrin,-0.1984
förändringen,-0.2015
prioritera,-0.2034
lagen,-0.2054
jobb,-0.2081
planeringen,-0.2082
tillsätta,-0.2107
landets,-0.2140
sociala,-0.2143
utreds,-0.2177
procent,-0.2196
skärpning,-0.2215
hållningen,-0.2218
kraven,-0.2262
inriktningen,-0.2291
ungdomar,-0.2308
polisen,-0.2355
tågen,-0.2356
bolag,-0.2365
psykiskt,-0.2378
frågan,-0.2388
bedömning,-0.2396
förutsättningarna,-0.2411
psykiska,-0.2471
förhållningssättet,-0.2485
konkurrensen,-0.2614
flygplatser,-0.2631
besparingar,-0.2685
vidta,-0.2704
uppdraget,-0.2738
2019,-0.2766
ambitioner,-0.2812
tullens,-0.2834
marknadsandelar,-0.2841
utbildning,-0.2857
övervägas,-0.2895
organisationen,-0.2909
behandlingsmetoder,-0.2912
ungdomarna,-0.2915
avtal,-0.2932
samarbetet,-0.2963
ställning,-0.2980
administrationen,-0.2995
människors,-0.3005
försäkringen,-0.3048
förhållningssätt,-0.3067
ändringar,-0.3077
rättigheterna,-0.3098
arbetet,-0.3106
förutsättningar,-0.3117
ersättning,-0.3123
kvinnorna,-0.3132
byggnadsarbetare,-0.3135
arter,-0.3209
sårbarheten,-0.3210
sänka,-0.3231
minska,-0.3263
avgifter,-0.3275
provstoppsavtalet,-0.3276
ramen,-0.3285
2018,-0.3373
handeln,-0.3387
bönder,-0.3463
valet,-0.3466
regionen,-0.3516
regioner,-0.3596
åtgärd,-0.3625
initiativ,-0.3628
omsorg,-0.3662
situation,-0.3679
biologisk,-0.3693
klyftan,-0.3697
ambassaden,-0.3706
mångfalden,-0.3718
anhöriga,-0.3747
trängda,-0.3770
tidsaspekten,-0.3776
familjerna,-0.3785
studierna,-0.3797
utvecklingen,-0.3803
förstärkningar,-0.3822
studietiden,-0.3826
förbud,-0.3848
mänskliga,-0.3861
stärka,-0.3866
social,-0.3876
verksamhet,-0.3890
reglerade,-0.3915
kommersialisering,-0.3919
arbete,-0.3926
export,-0.3998
försäkring,-0.4005
rättvis,-0.4016
förändringar,-0.4054
landet,-0.4104
kön,-0.4106
stimulera,-0.4115
industrin,-0.4193
eg,-0.4222
resurser,-0.4227
bostadsområden,-0.4247
förändring,-0.4253
frågor,-0.4256
helhetsgreppet,-0.4305
konkret,-0.4321
likvärdig,-0.4324
antalet,-0.4363
uppdrag,-0.4375
skurits,-0.4382
jätteviktig,-0.4384
ambitionen,-0.4386
alltfler,-0.4425
fattade,-0.4440
anser,-0.4443
sjuka,-0.4474
stöd,-0.4478
spärr,-0.4520
behoven,-0.4540
medelstora,-0.4554
bedöms,-0.4562
fas,-0.4594
regler,-0.4595
transporter,-0.4698
rusta,-0.4721
sänkt,-0.4724
lastbilar,-0.4734
resonera,-0.4735
belysa,-0.4744
krav,-0.4744
2017,-0.4757
medverka,-0.4878
privata,-0.4909
framtidsnäring,-0.4940
reservationer,-0.4948
villkor,-0.4955
dialog,-0.4999
dialogen,-0.5007
branschen,-0.5009
öka,-0.5031
uppsökande,-0.5033
allmänna,-0.5056
leveranserna,-0.5063
tillgängligheten,-0.5071
toppmötet,-0.5085
mötena,-0.5110
strategi,-0.5168
gemensam,-0.5237
orter,-0.5239
utveckling,-0.5281
kvinnor,-0.5313
oro,-0.5345
perioden,-0.5358
fortsättningsvis,-0.5371
överens,-0.5380
kulturarv,-0.5389
underlag,-0.5406
ekologisk,-0.5417
uppfattning,-0.5444
ökar,-0.5445
mottagandet,-0.5461
föreningar,-0.5496
genomföra,-0.5499
företag,-0.5508
stödja,-0.5521
modellen,-0.5540
uthålliga,-0.5545
konstnärer,-0.5548
utförsäljning,-0.5558
flyget,-0.5561
nivån,-0.5581
samtalet,-0.5632
tvingas,-0.5702
majoriteten,-0.5752
granska,-0.5773
operatörer,-0.5813
länder,-0.5830
målgruppen,-0.5850
utvärdera,-0.5858
pengarna,-0.5885
kampen,-0.5963
betala,-0.6017
konkurrens,-0.6019
svensk,-0.6047
sammanhanget,-0.6061
samlad,-0.6063
gemensamma,-0.6064
utökas,-0.6065
halverar,-0.6071
pekar,-0.6101
sjukvårdspersonal,-0.6115
bekämpa,-0.6120
försämrar,-0.6135
uthållig,-0.6136
omfatta,-0.6145
positioner,-0.6179
projekt,-0.6189
driva,-0.6201
behandlingen,-0.6212
satsa,-0.6297
djurens,-0.6322
chaufförer,-0.6358
nyanserad,-0.6359
engagemang,-0.6365
tullen,-0.6425
bensinmackar,-0.6478
studier,-0.6488
diskuterat,-0.6499
kraftigt,-0.6569
rättvist,-0.6583
självfallet,-0.6616
fråga,-0.6649
barnens,-0.6662
närområde,-0.6664
vägar,-0.6699
spridningsavtalet,-0.6738
läkemedel,-0.6779
syftet,-0.6800
aspekterna,-0.6811
nivåerna,-0.6826
framöver,-0.6852
jobba,-0.6871
innebära,-0.6877
sjysta,-0.6910
diskutera,-0.6921
skärgård,-0.7012
utkonkurrerade,-0.7013
pågår,-0.7018
tydlig,-0.7044
pengar,-0.7099
framtiden,-0.7106
svara,-0.7145
möjligheter,-0.7194
satsar,-0.7198
uppmärksamma,-0.7201
områden,-0.7215
stötta,-0.7295
bredda,-0.7317
betalt,-0.7385
säkerställa,-0.7394
sänker,-0.7433
uppfattat,-0.7434
svaret,-0.7477
buller,-0.7579
kassan,-0.7614
undantagna,-0.7622
gemensamt,-0.7626
beredd,-0.7640
engagerat,-0.7678
systemet,-0.7681
kolleger,-0.7697
kläm,-0.7740
gemenskapen,-0.7753
förstärkning,-0.7766
mål,-0.7802
agera,-0.7846
energi,-0.7854
trycket,-0.7854
skedet,-0.7865
tas,-0.7895
allvarligt,-0.7907
medel,-0.7969
behandling,-0.7996
marknadsföring,-0.7997
insats,-0.8009
jätteviktigt,-0.8037
lösningar,-0.8095
sändningar,-0.8110
områdena,-0.8172
hälso,-0.8174
fundera,-0.8191
väga,-0.8208
hanteras,-0.8209
skall,-0.8234
privat,-0.8282
läget,-0.8339
kämpa,-0.8343
uppgift,-0.8379
förstärks,-0.8427
medlem,-0.8433
miljoner,-0.8445
resultatet,-0.8481
diskussioner,-0.8509
effekter,-0.8512
land,-0.8529
möten,-0.8540
sådant,-0.8559
människor,-0.8590
behov,-0.8593
2016,-0.8629
arbeta,-0.8637
överväga,-0.8680
syn,-0.8691
stöder,-0.8696
handlar,-0.8712
återkomma,-0.8721
krafter,-0.8729
hösten,-0.8731
traditioner,-0.8746
samtal,-0.8748
mötet,-0.8756
räknar,-0.8758
analysera,-0.8760
fiske,-0.8770
marknad,-0.8792
barnet,-0.8834
gifta,-0.8842
pressa,-0.8855
förstärka,-0.8869
kräver,-0.8876
behandlas,-0.8880
frustration,-0.8946
värden,-0.8955
it,-0.8960
fordon,-0.8989
barnen,-0.8992
våren,-0.9029
utveckla,-0.9034
utsatt,-0.9103
jobbar,-0.9109
erfarenheter,-0.9144
sammanhang,-0.9197
förhållande,-0.9199
fram,-0.9243
inför,-0.9254
betyda,-0.9278
leva,-0.9297
hårt,-0.9308
tobak,-0.9319
styrkorna,-0.9336
affärer,-0.9355
2014,-0.9364
grupper,-0.9368
samarbete,-0.9393
2015,-0.9414
arbetat,-0.9433
taket,-0.9537
sådan,-0.9569
års,-0.9597
ska,-0.9624
härmed,-0.9635
resultat,-0.9650
tjänster,-0.9672
steg,-0.9711
fördelade,-0.9733
uttala,-0.9751
låna,-0.9753
marknaden,-0.9779
jobbet,-0.9832
jobbat,-0.9841
skede,-0.9872
tycker,-0.9879
gruppen,-0.9932
personal,-0.9936
spridning,-0.9978
sjukhuset,-1.0002
utslitna,-1.0025
igenom,-1.0031
viktigt,-1.0032
skogen,-1.0039
utökade,-1.0061
pressade,-1.0091
skydd,-1.0094
uppbyggnaden,-1.0105
barn,-1.0125
sammansättning,-1.0133
avslutad,-1.0133
process,-1.0142
vårt,-1.0145
effekt,-1.0172
kraftig,-1.0176
personalen,-1.0177
fortsätta,-1.0224
förstås,-1.0250
därför,-1.0263
fallet,-1.0272
jämföras,-1.0301
utgångspunkten,-1.0304
sådana,-1.0307
utnyttjas,-1.0319
värde,-1.0325
lösningen,-1.0325
upplever,-1.0327
område,-1.0334
miljö,-1.0338
arbetar,-1.0360
fall,-1.0365
fortsätter,-1.0382
materialet,-1.0433
skär,-1.0436
säga,-1.0451
angripa,-1.0467
dörrar,-1.0474
svar,-1.0486
listan,-1.0496
undersöka,-1.0511
informationen,-1.0522
delta,-1.0538
klara,-1.0540
steget,-1.0566
dvs,-1.0588
januari,-1.0625
utvecklas,-1.0643
tacka,-1.0648
0,-1.0653
fortsättningen,-1.0655
ändra,-1.0662
mellan,-1.0684
belyst,-1.0694
2002,-1.0699
organisera,-1.0719
1998,-1.0728
kontor,-1.0764
de,-1.0796
belysning,-1.0840
tider,-1.0856
viktig,-1.0860
ned,-1.0861
2005,-1.0864
nöjda,-1.0870
anledning,-1.0881
besvärligt,-1.0893
ingenting,-1.0895
lösning,-1.0902
skulle,-1.0925
sade,-1.0925
uttryck,-1.0947
aktiv,-1.1018
hon,-1.1033
hantera,-1.1082
nu,-1.1101
del,-1.1134
uppmärksamhet,-1.1138
apoteket,-1.1149
synvinkel,-1.1163
positionen,-1.1182
metod,-1.1184
roller,-1.1187
användningen,-1.1197
talat,-1.1198
slaget,-1.1216
skyddad,-1.1220
system,-1.1229
höger,-1.1252
naturligtvis,-1.1258
hatt,-1.1267
ytterligare,-1.1270
vi,-1.1329
lägga,-1.1333
klart,-1.1356
hur,-1.1371
särskilt,-1.1389
vill,-1.1389
öppettider,-1.1421
nya,-1.1472
väg,-1.1476
arrangemang,-1.1481
starkt,-1.1501
företaget,-1.1507
ni,-1.1523
våra,-1.1534
kommentera,-1.1540
ny,-1.1555
prata,-1.1558
stark,-1.1588
80,-1.1602
uttrycka,-1.1611
äldre,-1.1690
området,-1.1693
kr,-1.1695
1995,-1.1709
känns,-1.1730
inte,-1.1748
gå,-1.1763
pröva,-1.1765
person,-1.1781
lansera,-1.1836
behöver,-1.1857
får,-1.1868
läge,-1.1869
träffar,-1.1882
om,-1.1903
fast,-1.1931
det,-1.1948
struktur,-1.1957
oerhört,-1.1958
nästa,-1.1965
lägen,-1.2002
förvånad,-1.2006
haft,-1.2018
bron,-1.2057
egenskap,-1.2062
har,-1.2064
vidare,-1.2065
1999,-1.2096
dessa,-1.2104
beskriver,-1.2108
2004,-1.2112
försäljning,-1.2119
teknik,-1.2131
han,-1.2141
er,-1.2147
utnyttjade,-1.2168
juni,-1.2189
att,-1.2201
1985,-1.2221
lika,-1.2232
1,-1.2236
ditt,-1.2278
avslutat,-1.2288
bakgrund,-1.2307
jag,-1.2325
långt,-1.2326
29,-1.2326
sitt,-1.2349
tidigare,-1.2372
varandra,-1.2382
varje,-1.2415
1997,-1.2450
2003,-1.2455
intresserat,-1.2462
flickan,-1.2471
ordentligt,-1.2494
tid,-1.2495
styrkan,-1.2505
os,-1.2523
behandlingar,-1.2530
vapen,-1.2546
oss,-1.2560
vår,-1.2570
mig,-1.2571
juli,-1.2586
ihop,-1.2589
orolig,-1.2594
sätta,-1.2601
slåss,-1.2654
för,-1.2733
följa,-1.2760
under,-1.2784
april,-1.2804
kommer,-1.2835
sjyst,-1.2849
tiden,-1.2862
i,-1.2893
2000,-1.2898
sälja,-1.2900
dem,-1.2909
hade,-1.2944
göra,-1.2964
typen,-1.2974
hela,-1.2988
beskrivet,-1.2997
alla,-1.2999
